Wortkategorie,Wort,flavor,Numerus,klassisch/modern
Add-On,Gerne:,,,modern
Add-On,Eine Idee:,,,modern
Add-On,Eventuell:,,,modern
Add-On,Ein Vorschlag:,,,modern
Add-On,Vielleicht:,,,modern
Add-On,Unter Umständen:,,,modern
Add-On,Möglicherweise:,,,modern
Add-On,Schön wäre:,,,modern
Add-on,Angebot:,,,modern
Adverb,leise,Bewegung,,klassisch/modern
Adverb,konzentriert,Bewegung,,
Adverb,ernst,Bewegung,,
Adverb,aufgeregt,Bewegung,,klassisch/modern
Adverb,nebenbei,Bewegung,,klassisch/modern
Adverb,leise,Essen,,klassisch/modern
Adverb,genußvoll,Essen,,klassisch/modern
Adverb,beiläufig,Essen,,klassisch/modern
Adverb,leise,Stimme,,klassisch/modern
Adverb,bestimmt,Stimme,,klassisch/modern
Adverb,laut,Stimme,,klassisch/modern
Adverb,herzzerreißend,Stimme,,klassisch/modern
Adverb,schüchtern,Stimme,,klassisch/modern
Adverb,fragend,Stimme,,klassisch/modern
Adverb,konzentriert,Stimme,,
Adverb,ernst,Stimme,,
Adverb,sehnsuchtsvoll,Stimme,,klassisch/modern
Adverb,scherzend,Stimme,,klassisch/modern
Adverb,erbleichend,Stimme,,klassisch/modern
Adverb,erregt,Stimme,,klassisch/modern
Adverb,langsam,Zeit,,
Adverb,lange,Zeit,,
Beschreibung,", nach einer kurzen Pause, ",,,klassisch/modern
Beschreibung,", nach langer Überlegung,",,,klassisch/modern
Beschreibung,", ohne mit der Wimper zu zucken,",,,klassisch/modern
Beschreibung,", an die Zukunft denkend,",,,klassisch/modern
Beschreibung,", zur Überraschung vieler, ",,,klassisch/modern
Beschreibung,", voller Ärger, ",,,klassisch/modern
Objekt,Schuhkarton,Ding,singular,klassisch/modern
Objekt,Das Bett,Ding,singular,klassisch/modern
Objekt,Die Lampe,Ding,singular,klassisch/modern
Objekt,Die Blumenvase,Ding,singular,klassisch/modern
Objekt,Der Flügel,Ding,singular,klassisch/modern
Objekt,Spaghetti,Essen,,klassisch/modern
Objekt,Nussbraten,Essen,,klassisch/modern
Objekt,Eis,Essen,,klassisch/modern
Objekt,Waschmaschine,Technik,singular,klassisch/modern
Objekt,Die Waschmaschine,Technik,singular,klassisch/modern
Objekt,Die Lampe,Technik,singular,klassisch/modern
Objekt,der Computer,Technik,singular,klassisch/modern
Objekt,der Laptop,Technik,singular,klassisch/modern
Objekt,Das Mikrofon,Technik,singular,klassisch/modern
Objekt,Der Plattenspieler,Technik,singular,klassisch/modern
Objekt,Die Box,Technik,singular,klassisch/modern
Objekt,Die E-Gitarre,Technik,singular,klassisch/modern
Objekt,Die Kaffeemaschine,Technik,singular,klassisch/modern
Objekt,der Milchschäumer,Technik,singular,klassisch/modern
Objekt,der Rasenmäher,Technik,singular,klassisch/modern
Objekt,der Trockner,Technik,singular,klassisch/modern
Objekt,Das Auto,Technik,singular,klassisch/modern
Objekt,Der Mixer,Technik,singular,klassisch/modern
Objekt,die Heizung,Technik,singular,klassisch/modern
Objekt,der Staubsauger,Technik,singular,klassisch/modern
Objekt,das Smartphone,Technik,singular,klassisch/modern
Objekt,das Telephon,Technik,singular,klassisch/modern
Objekt,die Telefonzelle,Technik,singular,klassisch/modern
Objekt,der Roboter,Technik,singular,
Objekt,Der Staubsaugerroboter,Technik,singular,klassisch/modern
Objekt,die Motorsäge,Technik,singular,klassisch/modern
Objekt,das Boot,Technik,singular,klassisch/modern
Objekt,Der Anrufbeantworter,Technik,,modern
Objekt,Die Ansage,Technik,,modern
Objekt,Der Anschluss,Technik,,modern
Objekt,Die Anzeige,Technik,,modern
Objekt,einen Apfel,Essen,,klassisch/modern
Objekt,Der Aufzug,Technik ,,modern
Objekt ,Alkohol,Essen,,klassisch/modern
Ortsbestimmung,im Wald,,,klassisch/modern
Ortsbestimmung,im Grünen,,,klassisch/modern
Ortsbestimmung,im Park,,,klassisch/modern
Ortsbestimmung,in der Küche,,,klassisch/modern
Ortsbestimmung,auf der Treppe,,,klassisch/modern
Ortsbestimmung,im Universum,,,modern
Ortsbestimmung,auf der Straße,,,
Ortsbestimmung,zu Hause,,,
Ortsbestimmung,in der Besenkammer,,,
Ortsbestimmung,in der Badewanne,,,
Ortsbestimmung,draußen,,,
Ortsbestimmung,drinnen,,,
Ortsbestimmung,im Bus,,,
Ortsbestimmung,in einer Apotheke,,,klassisch/modern
Ortsbestimmung,in einem Appartement,,,klassisch/modern
Phrase,Einbruch des Realen,,,
Phrase,NO CATHARSIS,,,
Phrase,Aber die Musik muss lauter sein.,,,
Phrase,Perfekt funktionieren!,,,
Phrase,Das Schicksal played uns übel und dann doch gut.,,,
Phrase,ALLE NEHMEN EIN SAHNEBONBON UND LÄCHELN ZUFRIEDEN,,,
Phrase,angry mob,,,
Phrase,million dollar contract,,,
Phrase,ABENTEUER UND GUTE LAUNE WAS WILLST DU MEHR WAS WILLST DU MEHR,,,
Phrase,NA WÄRST DU MAL LIEBER DAHEIM GEBLIEBEN,,,
Phrase,NOW WHO'S THE ONE IN CHARGE,,,
Phrase,SING HALLELUJA,,,
Phrase,Oder ganz anders.,,,
Phrase,Oder anders.,,,
Phrase,"Nachtigall, ick hör dir trappsen.",,,
Phrase,Liebe,,,
Phrase,Friede Freude Eierkuchen.,,,
Phrase,Die Erde ist ein riesiger Haufen Stein im All.,,,
Phrase,Fahrstuhlmusik,,,
Phrase,DENK MAL DRÜBER NACH,,,
